id,Name,matchesPlayed,wicketsTaken,Type
49636,M Muralidaran,1,3,Spin
49636,M Muralidaran,2,4,Spin
49636,M Muralidaran,3,11,Spin
49636,M Muralidaran,4,16,Spin
49636,M Muralidaran,5,16,Spin
49636,M Muralidaran,6,20,Spin
49636,M Muralidaran,7,26,Spin
49636,M Muralidaran,8,31,Spin
49636,M Muralidaran,9,36,Spin
49636,M Muralidaran,10,40,Spin
49636,M Muralidaran,11,45,Spin
49636,M Muralidaran,12,49,Spin
49636,M Muralidaran,13,52,Spin
49636,M Muralidaran,14,53,Spin
49636,M Muralidaran,15,55,Spin
49636,M Muralidaran,16,56,Spin
49636,M Muralidaran,17,61,Spin
49636,M Muralidaran,18,63,Spin
49636,M Muralidaran,19,67,Spin
49636,M Muralidaran,20,74,Spin
49636,M Muralidaran,21,78,Spin
49636,M Muralidaran,22,80,Spin
49636,M Muralidaran,23,81,Spin
49636,M Muralidaran,24,88,Spin
49636,M Muralidaran,25,95,Spin
49636,M Muralidaran,26,95,Spin
49636,M Muralidaran,27,101,Spin
49636,M Muralidaran,28,107,Spin
49636,M Muralidaran,29,115,Spin
49636,M Muralidaran,30,123,Spin
49636,M Muralidaran,31,125,Spin
49636,M Muralidaran,32,132,Spin
49636,M Muralidaran,33,135,Spin
49636,M Muralidaran,34,135,Spin
49636,M Muralidaran,35,147,Spin
49636,M Muralidaran,36,152,Spin
49636,M Muralidaran,37,160,Spin
49636,M Muralidaran,38,168,Spin
49636,M Muralidaran,39,177,Spin
49636,M Muralidaran,40,180,Spin
49636,M Muralidaran,41,187,Spin
49636,M Muralidaran,42,203,Spin
8166,SK Warne,1,1,Spin
8166,SK Warne,2,1,Spin
8166,SK Warne,3,4,Spin
8166,SK Warne,4,4,Spin
8166,SK Warne,5,12,Spin
8166,SK Warne,6,13,Spin
8166,SK Warne,7,14,Spin
8166,SK Warne,8,14,Spin
8166,SK Warne,9,21,Spin
8166,SK Warne,10,25,Spin
8166,SK Warne,11,31,Spin
8166,SK Warne,12,39,Spin
8166,SK Warne,13,47,Spin
8166,SK Warne,14,53,Spin
8166,SK Warne,15,54,Spin
8166,SK Warne,16,60,Spin
8166,SK Warne,17,65,Spin
8166,SK Warne,18,66,Spin
8166,SK Warne,19,75,Spin
8166,SK Warne,20,83,Spin
8166,SK Warne,21,84,Spin
8166,SK Warne,22,96,Spin
8166,SK Warne,23,101,Spin
8166,SK Warne,24,106,Spin
8166,SK Warne,25,112,Spin
8166,SK Warne,26,116,Spin
8166,SK Warne,27,124,Spin
8166,SK Warne,28,125,Spin
8166,SK Warne,29,134,Spin
8166,SK Warne,30,145,Spin
8166,SK Warne,31,154,Spin
8166,SK Warne,32,155,Spin
8166,SK Warne,33,159,Spin
8166,SK Warne,34,161,Spin
8166,SK Warne,35,166,Spin
8166,SK Warne,36,169,Spin
8166,SK Warne,37,170,Spin
8166,SK Warne,38,176,Spin
8166,SK Warne,39,187,Spin
8166,SK Warne,40,187,Spin
8166,SK Warne,41,195,Spin
8166,SK Warne,42,201,Spin
8166,SK Warne,43,206,Spin
8166,SK Warne,44,207,Spin
8608,JM Anderson,1,5,Pace
8608,JM Anderson,2,11,Pace
8608,JM Anderson,3,12,Pace
8608,JM Anderson,4,14,Pace
8608,JM Anderson,5,21,Pace
8608,JM Anderson,6,23,Pace
8608,JM Anderson,7,26,Pace
8608,JM Anderson,8,26,Pace
8608,JM Anderson,9,28,Pace
8608,JM Anderson,10,29,Pace
8608,JM Anderson,11,33,Pace
8608,JM Anderson,12,35,Pace
8608,JM Anderson,13,41,Pace
8608,JM Anderson,14,42,Pace
8608,JM Anderson,15,43,Pace
8608,JM Anderson,16,46,Pace
8608,JM Anderson,17,53,Pace
8608,JM Anderson,18,54,Pace
8608,JM Anderson,19,60,Pace
8608,JM Anderson,20,62,Pace
8608,JM Anderson,21,69,Pace
8608,JM Anderson,22,70,Pace
8608,JM Anderson,23,75,Pace
8608,JM Anderson,24,80,Pace
8608,JM Anderson,25,89,Pace
8608,JM Anderson,26,92,Pace
8608,JM Anderson,27,95,Pace
8608,JM Anderson,28,99,Pace
8608,JM Anderson,29,104,Pace
8608,JM Anderson,30,106,Pace
8608,JM Anderson,31,108,Pace
8608,JM Anderson,32,108,Pace
8608,JM Anderson,33,110,Pace
8608,JM Anderson,34,113,Pace
8608,JM Anderson,35,117,Pace
8608,JM Anderson,36,119,Pace
8608,JM Anderson,37,128,Pace
8608,JM Anderson,38,130,Pace
8608,JM Anderson,39,134,Pace
8608,JM Anderson,40,140,Pace
8608,JM Anderson,41,140,Pace
8608,JM Anderson,42,140,Pace
8608,JM Anderson,43,145,Pace
8608,JM Anderson,44,148,Pace
8608,JM Anderson,45,156,Pace
8608,JM Anderson,46,156,Pace
8608,JM Anderson,47,161,Pace
8608,JM Anderson,48,165,Pace
8608,JM Anderson,49,176,Pace
8608,JM Anderson,50,181,Pace
8608,JM Anderson,51,185,Pace
8608,JM Anderson,52,188,Pace
8608,JM Anderson,53,190,Pace
8608,JM Anderson,54,196,Pace
8608,JM Anderson,55,200,Pace
8608,JM Anderson,56,205,Pace
30176,A Kumble,1,3,Spin
30176,A Kumble,2,6,Spin
30176,A Kumble,3,9,Spin
30176,A Kumble,4,17,Spin
