BowlerId,Name,Team,matchesPlayed,wicketsTaken,Correct_Date,Type,MMYY
49636,M Muralidaran,ICC/SL,1,3,28 Aug 1992,Spin,Aug 1992
49636,M Muralidaran,ICC/SL,2,4,8 Sep 1992,Spin,Sep 1992
49636,M Muralidaran,ICC/SL,3,11,6 Dec 1992,Spin,Dec 1992
49636,M Muralidaran,ICC/SL,4,16,13 Mar 1993,Spin,Mar 1993
49636,M Muralidaran,ICC/SL,5,16,17 Jul 1993,Spin,Jul 1993
49636,M Muralidaran,ICC/SL,6,20,4 Aug 1993,Spin,Aug 1993
49636,M Muralidaran,ICC/SL,7,26,25 Aug 1993,Spin,Aug 1993
49636,M Muralidaran,ICC/SL,8,31,6 Sep 1993,Spin,Sep 1993
49636,M Muralidaran,ICC/SL,9,36,14 Sep 1993,Spin,Sep 1993
49636,M Muralidaran,ICC/SL,10,40,8 Dec 1993,Spin,Dec 1993
49636,M Muralidaran,ICC/SL,11,45,18 Jan 1994,Spin,Jan 1994
49636,M Muralidaran,ICC/SL,12,49,26 Jan 1994,Spin,Jan 1994
49636,M Muralidaran,ICC/SL,13,52,8 Feb 1994,Spin,Feb 1994
49636,M Muralidaran,ICC/SL,14,53,9 Aug 1994,Spin,Aug 1994
49636,M Muralidaran,ICC/SL,15,55,11 Oct 1994,Spin,Oct 1994
49636,M Muralidaran,ICC/SL,16,56,20 Oct 1994,Spin,Oct 1994
49636,M Muralidaran,ICC/SL,17,61,11 Mar 1995,Spin,Mar 1995
49636,M Muralidaran,ICC/SL,18,63,18 Mar 1995,Spin,Mar 1995
49636,M Muralidaran,ICC/SL,19,67,8 Sep 1995,Spin,Sep 1995
49636,M Muralidaran,ICC/SL,20,74,15 Sep 1995,Spin,Sep 1995
49636,M Muralidaran,ICC/SL,21,78,22 Sep 1995,Spin,Sep 1995
49636,M Muralidaran,ICC/SL,22,80,8 Dec 1995,Spin,Dec 1995
49636,M Muralidaran,ICC/SL,23,81,26 Dec 1995,Spin,Dec 1995
49636,M Muralidaran,ICC/SL,24,88,11 Sep 1996,Spin,Sep 1996
49636,M Muralidaran,ICC/SL,25,95,18 Sep 1996,Spin,Sep 1996
